2013-06-10	补缴	2,000.00	201305
2013-05-10	汇缴	1,200.00	201305
2013-04-10	汇缴	1,200.00	201304
2013-03-10	汇缴	1,200.00	201303
2013-02-10	汇缴	1,200.00	201302
2013-01-10	汇缴	1,200.00	201301
2012-12-10	补缴	1,200.00	201305
2012-11-10	补缴	1,200.00	201304
2012-10-10	补缴	1,200.00	201303
2012-09-10	补缴	1,200.00	201302
2012-08-10	补缴	1,200.00	201301
2012-07-10	汇缴22	1,200.00	201305
2012-06-10	汇缴22	1,200.00	201304
2012-05-10	汇缴22	1,200.00	201303
2012-04-10	汇缴22	1,200.00	201302
2012-03-10	汇缴22	1,200.00	201301
2012-02-10	汇缴22	1,200.00	201303
2012-01-10	汇缴22	1,200.00	201302
2011-12-10	汇缴22	1,200.00	201301
