2014-02-15	还贷	4,000.00
2014-01-15	还贷	4,000.00
2013-12-15	还贷	3,000.00
2013-11-15	还贷	3,000.00
2013-10-15	还贷	3,000.00
2013-09-15	还贷	3,000.00
2013-08-15	还贷	3,000.00
2013-07-15	还贷	3,000.00
2013-06-15	还贷	3,000.00
2013-05-15	还贷	3,000.00
2013-04-05	生活困难	1,000.00
2013-03-16	房租超比例	3,000.00
2013-02-15	还贷	2,800.00
2013-01-15	还贷	2,800.00
2012-12-15	还贷	2,800.00
2012-11-15	还贷	2,800.00
2012-10-15	还贷	2,800.00
2012-09-15	还贷	2,800.00
2012-08-04	生活困难	1,800.00
2012-07-15	还贷	2,800.00
2012-06-15	还贷	2,800.00
2012-05-23	房租超比例	3,000.00
2012-04-15	还贷	2,800.00
2012-03-21	意外灾难	1,200.00
2012-02-15	还贷	2,800.00
2012-01-15	还贷	2,800.00
2011-12-15	还贷	2,800.00
2011-11-15	还贷	2,800.00
2011-10-15	还贷	2,800.00
2011-09-15	还贷	2,800.00
2011-08-15	还贷	2,800.00
2011-07-15	还贷	2,800.00
2011-06-15	还贷	2,800.00
2011-05-15	还贷	2,800.00
2011-04-05	生活困难1	1,000.00
2011-04-05	生活困难1	1,000.00
2011-03-16	房租超比例1	3,000.00
2011-02-16	房租超比例1	3,000.00
2011-01-15	还贷1		8,000.00
2010-08-04	生活困难1	1,800.00
2010-05-23	房租超比例1	3,000.00
2010-03-21	意外灾难1	1,200.00
2010-01-15	还贷1	 2,800.00
