2012-10-20	还逾期	299,227.05	1,125.00	0.00
2012-11-20	正常还款	298,451.20	1,122.10	0.00
2012-12-20	正常还款	297,672.44	1,119.19	0.00
2013-01-20	正常还款	296,890.76	1,116.27	0.00
2013-02-20	正常还款	296,106.15	1,113.34	0.00
2013-03-20	正常还款	295,318.60	1,110.40	0.00
2013-04-20	正常还款	294,528.09	1,107.44	0.00
2013-05-20	还逾期	299,227.05	1,125.00	0.00
2013-06-20	正常还款	298,451.20	1,122.10	0.00
2013-07-20	正常还款	297,672.44	1,119.19	0.00
2013-08-20	正常还款	296,890.76	1,116.27	0.00
2013-09-20	正常还款	296,106.15	1,113.34	0.00
2013-10-20	正常还款	295,318.60	1,110.40	0.00
2013-11-20	正常还款	294,528.09	1,107.44	0.00
2013-12-20	正常还款	293,734.62	1,104.48	0.00
2014-01-20	正常还款	292,938.17	1,101.50	0.00
2014-02-20	正常还款	292,138.74	1,098.52	0.00
